YEAR;PM04905AA
1950;39878.8331329048
1951;42960.8773252818
1952;45976.197296672
1953;49028.4673430422
1954;51906.8788039943
1955;55008.215633153
1956;57196.4337456509
1957;60959.2106736922
1958;60910.0647681874
1959;62884.0158308664
1960;69044.2422670025
1961;74131.6288607216
1962;81200.8844895457
1963;84562.2736616021
1964;89552.7328966214
1965;94664.3350391904
1966;101705.40999143
1967;106810.996299746
1968;107079.37524927
1969;110376.296806016
1970;113372.816064826
1971;120045.810074395
1972;124755.000243182
1973;131946.796033661
1974;143043.237565823
1975;150445.798021209
1976;154110.737939156
1977;155209.699989611
1978;153852.944188352
1979;157410.357162007
1980;166223.826814117
1981;177376.222224945
1982;177121.33637439
1983;159815.188358113
1984;165442.65402682
1985;170529.376565468
1986;186675.064377318
1987;204087.689064812
1988;186296.799320398
1989;163433.863992512
1990;148120.288080248
1991;152284.026497578
1992;151218.792460597
1993;156884.72684826
1994;152971.780232814
1995;166725.920590046
1996;171088.820176775
1997;183790.892265143
1998;183716.546129601
1999;182171.745060834
2000;184556.233336546
2001;186082.078534488
2002;199214.376100352
2003;205142.240590525
2004;217150.358694928
2005;229941.64798256
2006;264354.183840804
2007;294015.402597162
2008;311563.783877601
2009;314447.802585763
2010;357285.252266911
2011;386002.209564301
2012;410989.152814811
2013;430987.755124211
2014;440520.838957805
2015;450844.036431832
2016;466000.443427932
2017;483045.420331961
2018;501925.699188703
2019;516163.438891791
2020;476353.742045319
2021;526141.426935652
