YEAR|LOAD_DATE|PM04901AA|PM04902AA|PM04903AA|PM04904AA|PM04905AA|PM04906AA|PM04907AA
1950|2022-06-04|40920.0|581.949347960999|41501.949347961|-1623.11621505616|39878.8331329048|29.1215166986269|39907.9546496035
1951|2022-06-04|44711.0|309.806163114045|45020.806163114|-2059.92883783221|42960.8773252818|27.1878378296446|42988.0651631115
1952|2022-06-04|47347.0|299.203884972762|47646.2038849728|-1670.00658830074|45976.197296672|66.577865856839|46042.7751625289
1953|2022-06-04|50085.0|203.656490784252|50288.6564907843|-1260.18914774203|49028.4673430422|87.9065218077606|49116.37386485
1954|2022-06-04|52762.0|643.180256926897|53405.1802569269|-1498.30145293263|51906.8788039943|156.962538772088|52063.8413427664
1955|2022-06-04|55858.0|974.69806365547|56832.6980636555|-1824.48243050242|55008.215633153|143.890484907739|55152.1061180608
1956|2022-06-04|58484.0|789.85727138679|59273.8572713868|-2077.42352573589|57196.4337456509|195.142426798887|57391.5761724498
1957|2022-06-04|62371.0|747.068009175149|63118.0680091751|-2158.85733548299|60959.2106736922|282.777867359975|61241.9885410521
1958|2022-06-04|61706.0|620.888018120223|62326.8880181202|-1416.82324993285|60910.0647681874|259.863129149894|61169.9278973373
1959|2022-06-04|63653.0|887.33812362865|64540.3381236287|-1656.3222927623|62884.0158308664|183.194063943255|63067.2098948096
1960|2022-06-04|69946.0|1067.45803028556|71013.4580302856|-1969.21576328309|69044.2422670025|333.896517546527|69378.138784549
1961|2022-06-04|75085.0|1032.26809246229|76117.2680924623|-1985.63923174071|74131.6288607216|415.574172193493|74547.2030329151
1962|2022-06-04|82620.0|988.581267844|83608.581267844|-2407.69677829829|81200.8844895457|267.930210482834|81468.8147000286
1963|2022-06-04|86196.0|1045.12636620722|87241.1263662072|-2678.85270460515|84562.2736616021|272.008600550295|84834.2822621524
1964|2022-06-04|91840.0|953.202172208389|92793.2021722084|-3240.46927558695|89552.7328966214|195.742752430776|89748.4756490522
1965|2022-06-04|97003.0|998.640752439156|98001.6407524392|-3337.30571324875|94664.3350391904|279.07385972585|94943.4088989163
1966|2022-06-04|104995.0|1353.13332857674|106348.133328577|-4642.72333714692|101705.40999143|292.299200617624|101997.709192047
1967|2022-06-04|109040.0|1755.94814946713|110795.948149467|-3984.95184972079|106810.996299746|350.792071100893|107161.788370847
1968|2022-06-04|109206.0|2013.10622720484|111219.106227205|-4139.73097793478|107079.37524927|489.139986365665|107568.515235636
1969|2022-06-04|113044.0|2332.66324776925|115376.663247769|-5000.36644175361|110376.296806016|395.026115914993|110771.322921931
1970|2022-06-04|116849.0|1776.61173600319|118625.611736003|-5252.79567117741|113372.816064826|862.777649366405|114235.593714192
1971|2022-06-04|122213.0|1530.16108374505|123743.161083745|-3697.35100935037|120045.810074395|386.640317942708|120432.450392337
1972|2022-06-04|126463.0|1363.76219640712|127826.762196407|-3071.76195322546|124755.000243182|349.176603150671|125104.176846332
1973|2022-06-04|134401.0|2100.34729664323|136501.347296643|-4554.55126298203|131946.796033661|340.880689630881|132287.676723292
1974|2022-06-04|147017.0|2210.9176137517|149227.917613752|-6184.68004792822|143043.237565823|312.578007461447|143355.815573285
1975|2022-06-04|153340.0|1787.04642458068|155127.046424581|-4681.24840337166|150445.798021209|436.833570453055|150882.631591662
1976|2022-06-04|155559.0|2464.67985942462|158023.679859425|-3912.94192026848|154110.737939156|492.935971884925|154603.673911041
1977|2022-06-04|156102.0|3102.39713814017|159204.39713814|-3994.69714852901|155209.699989611|683.579030437663|155893.279020049
1978|2022-06-04|151977.0|4937.09110555737|156914.091105557|-3061.14691720565|153852.944188352|993.532265824238|154846.476454176
1979|2022-06-04|158194.0|6296.8934381904|164490.89343819|-7080.53627618384|157410.357162007|1028.0642348066|158438.421396813
1980|2022-06-04|167596.0|5443.0908847269|173039.090884727|-6815.2640706101|166223.826814117|400.615544572148|166624.442358689
1981|2022-06-04|176901.0|5198.29824086568|182099.298240866|-4723.07601592085|177376.222224945|387.293902018085|177763.516126963
1982|2022-06-04|176507.0|5085.5457296959|181592.545729696|-4471.20935530601|177121.33637439|395.573125325396|177516.909499715
1983|2022-06-04|158136.0|6321.78184955352|164457.781849554|-4642.59349144028|159815.188358113|586.523301450964|160401.711659564
1984|2022-06-04|163842.0|6066.63448610671|169908.634486107|-4465.98045928659|165442.65402682|596.088340360551|166038.742367181
1985|2022-06-04|167219.0|7144.65250684536|174363.652506845|-3834.27594137773|170529.376565468|575.709363950579|171105.085929418
1986|2022-06-04|182981.0|5590.50640936783|188571.506409368|-1896.4420320495|186675.064377318|532.089877351838|187207.15425467
1987|2022-06-04|200778.0|5156.32151262245|205934.321512622|-1846.63244781012|204087.689064812|463.888350000529|204551.577414813
1988|2022-06-04|181822.0|6499.85221259381|188321.852212594|-2025.05289219575|186296.799320398|697.641478728286|186994.440799126
1989|2022-06-04|159436.0|5676.6168200219|165112.616820022|-1678.75282750955|163433.863992512|592.123590933883|164025.987583446
1990|2022-06-04|151492.0|-4923.90648198473|146568.093518015|1552.19456223257|148120.288080248|795.454054108951|148915.742134357
1991|2022-06-04|154854.0|-3401.12973344929|151452.870266551|831.15623102748|152284.026497578|1142.58250387466|153426.609001453
1992|2022-06-04|154017.0|-3274.91832127703|150742.081678723|476.710781873782|151218.792460597|1050.21388873349|152269.00634933
1993|2022-06-04|162093.0|-4138.58258528589|157954.417414714|-1069.69056645448|156884.72684826|1317.16925758852|158201.896105848
1994|2022-06-04|182043.671320207|-7763.68832628607|174279.982993921|-21308.2027611076|152971.780232814|3165.53768082897|156137.317913643
1995|2022-06-04|195535.99143694|-8955.21212809103|186580.779308849|-19854.8587188035|166725.920590046|3006.14374452955|169732.064334575
1996|2022-06-04|201009.289724016|-6726.47524914427|194282.814474872|-23193.9942980969|171088.820176775|3230.00616745755|174318.826344233
1997|2022-06-04|214028.291389057|-6548.98066808638|207479.310720971|-23688.4184558275|183790.892265143|3418.9295337751|187209.821798918
1998|2022-06-04|213189.993392589|-4425.85937082107|208764.134021768|-25047.5878921664|183716.546129601|3618.79837170492|187335.344501306
1999|2022-06-04|216376.740630514|-4485.37420468313|211891.366425831|-29719.6213649966|182171.745060834|3802.35887293036|185974.103933765
2000|2022-06-04|222206.707348694|-5610.87994614399|216595.82740255|-32039.5940660042|184556.233336546|3984.57913508984|188540.812471636
2001|2022-06-04|223579.575750618|-4311.77150407956|219267.804246539|-33185.725712051|186082.078534488|4066.54089297616|190148.619427464
2002|2022-06-04|235772.947128979|-5632.62541149907|230140.32171748|-30925.9456171281|199214.376100352|3987.57239978749|203201.948500139
2003|2022-06-04|245592.61375299|-8024.38503396497|237568.228719025|-32425.9881285|205142.240590525|4565.22241287147|209707.463003396
2004|2022-06-04|257769.786233073|-12926.9992763497|244842.786956723|-27692.4282617954|217150.358694928|5084.43991179619|222234.798606724
2005|2022-06-04|273971.153886791|-17170.8325580177|256800.321328773|-26858.673346213|229941.64798256|6003.35218250592|235945.000165066
2006|2022-06-04|294597.830810429|-24946.6489165378|269651.181893891|-5296.99805308642|264354.183840804|7239.61840388737|271593.802244692
2007|2022-06-04|319693.0|-25630.2402508771|294062.759749123|-47.3571519607649|294015.402597162|9260.23296686684|303275.635564029
2008|2022-06-04|348870.0|-23995.7199101328|324874.280089867|-13310.4962122666|311563.783877601|9398.72575403441|320962.509631635
2009|2022-06-04|352693.0|-23098.3567448543|329594.643255146|-15146.8406693824|314447.802585763|9446.26855450677|323894.07114027
2010|2022-06-04|382081.0|-28840.0095630568|353240.990436943|4044.26182996744|357285.252266911|9215.09908223513|366500.351349146
2011|2022-06-04|406256.0|-33386.6706052635|372869.329394737|13132.8801695647|386002.209564301|9406.66796597278|395408.877530274
2012|2022-06-04|431199.0|-30440.7060511708|400758.293948829|10230.8588659818|410989.152814811|9619.56628796852|420608.71910278
2013|2022-06-04|456435.0|-27731.1931368301|428703.80686317|2283.94826104111|430987.755124211|9771.42572990452|440759.180854116
2014|2022-06-04|467308.0|-23081.0889463234|444226.911053677|-3706.07209587122|440520.838957805|12138.082947481|452658.921905286
2015|2022-06-04|482506.0|-19147.999129904|463358.000870096|-12513.9644382645|450844.036431832|10615.9066066959|461459.943038527
2016|2022-06-04|501581.0|-22144.5542686547|479436.445731345|-13436.0023034132|466000.443427932|12529.5681621982|478530.01159013
2017|2022-06-04|514215.0|-26459.3035194375|487755.696480562|-4710.27614860114|483045.420331961|12281.9020553994|495327.322387361
2018|2022-06-04|534665.0|-27066.0514175146|507598.948582485|-5673.24939378236|501925.699188703|11292.1559469375|513217.85513564
2019|2022-06-04|546605.0|-22446.8875848312|524158.112415169|-7994.67352337767|516163.438891791|11726.3805614241|527889.819453215
2020|2022-06-04|486402.0862783|-14748.8775165815|471653.208761718|4700.53328360059|476353.742045319|11922.8519000341|488276.593945353
2021|2022-06-04|551829.119781879|-46048.2056891399|505780.914092739|20360.5128429133|526141.426935652|13619.5267117407|539760.953647393
